[setup] method=GRPO model=Qwen3.5-4B mask=15 train=32 eval=32 world=4 global_batch=32 generations=8 max_steps=100 max_turns=45
[sampling] train_temperature=1.0 train_top_p=1.0 train_top_k=-1 eval_temperature=0.7 eval_top_p=0.8 eval_top_k=20
[optimization] learning_rate=1e-6 beta=0.001 clip=0.2 max_policy_examples_per_step=512 raw_policy_logprobs=true
[eval] step=0 repeats=3 solved_avg=3.00/32 average=0.093750 std=0.044194
[train] step=1 reward=0.003906 solved=1/256 avg_turns=16.6953 examples=4274 used=4096 drop=178 kl=2.550151 clip=0.097181 sec=1380.7
[train] step=2 reward=0.003906 solved=1/256 avg_turns=16.4219 examples=4204 used=4096 drop=108 kl=0.010799 clip=0.055121 sec=1353.7
[train] step=3 reward=0.000000 solved=0/256 avg_turns=16.6250 examples=4256 used=4096 drop=160 kl=0.012389 clip=0.009747 sec=1402.2
[train] step=4 reward=0.000000 solved=0/256 avg_turns=16.7305 examples=4283 used=4096 drop=187 kl=0.011684 clip=0.010512 sec=1395.9
[train] step=5 reward=0.000000 solved=0/256 avg_turns=16.6680 examples=4267 used=4096 drop=171 kl=0.011904 clip=0.008804 sec=1380.8
[train] step=6 reward=0.000000 solved=0/256 avg_turns=16.6914 examples=4273 used=4096 drop=177 kl=0.012194 clip=0.010187 sec=1420.6
[train] step=7 reward=0.003906 solved=1/256 avg_turns=16.6562 examples=4264 used=4096 drop=168 kl=0.011994 clip=0.010709 sec=1375.8
[train] step=8 reward=0.003906 solved=1/256 avg_turns=16.7930 examples=4299 used=4096 drop=203 kl=0.011243 clip=0.011430 sec=1407.8
[train] step=9 reward=0.000000 solved=0/256 avg_turns=16.8750 examples=4320 used=4096 drop=224 kl=0.011223 clip=0.011214 sec=1411.8
[train] step=10 reward=0.000000 solved=0/256 avg_turns=16.8008 examples=4301 used=4096 drop=205 kl=0.010528 clip=0.010906 sec=1420.3
[train] step=11 reward=0.000000 solved=0/256 avg_turns=16.9102 examples=4329 used=4096 drop=233 kl=0.010316 clip=0.012159 sec=1421.2
